,id,precio,fecha,ranking_capitalizacion,capitalizacion,volumen
8,tether,1.0038411738670587,2020-01,3,82896079480,73298197093.67738
9,tron,0.0196706037371055,2020-01,11,6673197591,1949332664.6946
10,usd-coin,1.0090939285560447,2020-01,6,26037403420,518869884.6412881
0,binancecoin,26.97533332250713,2020-02,4,35622497554,676112658.6928856
2,cardano,0.0706908642678464,2020-02,8,9686430803,359219393.4170464
3,dogecoin,0.0034430934449391,2020-02,9,9554176830,178529231.88048422
4,ethereum,284.7635507928948,2020-02,2,216197790822,47878820924.06838
5,litecoin,83.55706723761288,2020-02,14,5545620744,7301446535.174563
6,matic-network,0.0248359660733005,2020-02,13,5780981967,86059589.4487627
7,ripple,0.3374135778264663,2020-02,5,31073814267,6673091758.611099
8,tether,1.0078254804216549,2020-02,3,82905090159,106181852762.99892
9,tron,0.0265501870420763,2020-02,11,6673197591,2845490187.5875254
10,usd-coin,1.004730385111366,2020-02,6,26037403420,1812353670.3838007
0,binancecoin,21.63879375402628,2020-03,4,35622497554,681796876.3133693
2,cardano,0.0517727109515972,2020-03,8,9686430803,346583292.797104
3,dogecoin,0.0025138732785661,2020-03,9,9554176830,228594049.6003937
4,ethereum,247.2626518507704,2020-03,2,216197790822,27497055007.243298
5,litecoin,63.65790750693298,2020-03,14,5545620744,7568938424.979956
6,matic-network,0.0286405528019371,2020-03,13,5780981967,111422886.63151056
7,ripple,0.2451484924720356,2020-03,5,31073814267,5182316342.5818815
8,tether,1.0511992240671415,2020-03,3,82905090159,98054225640.5949
9,tron,0.0183598409854301,2020-03,11,6673197591,1902961387.0967247
10,usd-coin,1.0601983741721746,2020-03,6,26037403420,1528803817.0725543
0,binancecoin,17.793581586597234,2020-04,4,35591407981,521124546.3719112
2,cardano,0.0526325069661772,2020-04,8,9675700078,380667274.7555447
3,dogecoin,0.0025923880358894,2020-04,9,9540423874,248587887.8065556
4,ethereum,217.3182207728371,2020-04,2,216197790822,22782107976.38184
5,litecoin,49.49706815874384,2020-04,14,5537417580,4835970865.47692
6,matic-network,0.0166853343806065,2020-04,13,5776167970,49993365.43468387
7,ripple,0.2276906344994347,2020-04,5,31073814267,3128388853.5992947
8,solana,1.210814856730272,2020-04,10,9445900187,102266084.02416418
9,tether,1.0142009479195042,2020-04,3,82905090159,76083687947.09386
10,tron,0.0164971920707201,2020-04,11,6673512482,1865803135.5765724
11,usd-coin,1.0084995373512384,2020-04,6,26037403420,1112168186.3463762
0,binancecoin,17.916075478929415,2020-05,4,35591407981,497464227.3846712
2,cardano,0.0755043328002701,2020-05,8,9675700078,624509152.9436555
3,dogecoin,0.0026858477156863,2020-05,9,9540423874,280963896.884949
4,ethereum,245.7704994364065,2020-05,2,216012089754,22370374797.99845
5,litecoin,49.73099071166004,2020-05,14,5537417580,4898531218.981793
6,matic-network,0.0268209215494712,2020-05,13,5776167970,138371947.1601521
7,ripple,0.225112560657553,2020-05,5,31118611531,3103142250.30976
8,solana,0.7347579920121671,2020-05,10,9445900187,4743797.547709279
9,tether,1.0120186584335595,2020-05,3,82924174463,81152224497.22124
10,tron,0.0164969707823364,2020-05,11,6673512482,1922296086.1267676
11,usd-coin,1.0090462687123405,2020-05,6,26045414856,596019545.2885123
0,binancecoin,18.12977775235027,2020-06,4,35591407981,321150305.7667101
2,cardano,0.0887995687416227,2020-06,8,9675700078,996207989.7666614
3,dogecoin,0.0027022699275434,2020-06,9,9540423874,149543561.61528525
4,ethereum,252.1712320385204,2020-06,2,216012089754,13892781887.175848
5,litecoin,49.642144741701166,2020-06,14,5537417580,3171805773.0710998
6,matic-network,0.0229347316821962,2020-06,13,5776167970,97032814.48311342
7,ripple,0.2137686720170078,2020-06,5,31118611531,1920303076.2404115
8,solana,0.8899802533812959,2020-06,10,9445900187,7231800.029438946
9,tether,1.0096938470961936,2020-06,3,82924174463,48146405122.81921
10,tron,0.0185542294041214,2020-06,11,6673512482,1795444249.0243917
11,usd-coin,1.0096661425781002,2020-06,6,26045414856,419209870.6552997
0,binancecoin,20.47419418522249,2020-07,4,35591407981,349906473.11347216
2,cardano,0.1534884860883366,2020-07,8,9675700078,1348879487.5179255
3,dogecoin,0.0052259579971935,2020-07,9,9540423874,1204058737.7711525
4,ethereum,338.5059253724614,2020-07,2,216012089754,18292990685.53252
5,litecoin,57.56205306325513,2020-07,14,5537417580,3617360780.4667583
6,matic-network,0.0233696421409436,2020-07,13,5776167970,37767881.5926995
7,ripple,0.2483966181028433,2020-07,5,31118611531,2123927845.4254584
8,solana,2.028048281929832,2020-07,10,9445900187,35918061.56232307
9,tether,1.020358098248172,2020-07,3,82924174463,188581270850.1605
10,tron,0.0198489312428505,2020-07,11,6673512482,921020217.8182389
11,usd-coin,1.007408819071112,2020-07,6,26045414856,560450725.1415473
0,binancecoin,23.834300684252327,2020-08,4,35586997266,432043714.2201698
2,cardano,0.1490224597689279,2020-08,8,9675907234,868923368.4016666
3,dogecoin,0.0037133838830904,2020-08,9,9538992239,203115217.4853376
4,ethereum,442.09473098860445,2020-08,2,216007297144,20440304679.458817
5,litecoin,68.17148946034452,2020-08,14,5539500261,4080720277.944429
6,matic-network,0.0317940290004238,2020-08,13,5778318067,62234771.23468863
7,polkadot,6.6635386022432055,2020-08,12,5992548526,1120698606.8818166
8,ripple,0.3252698573582531,2020-08,5,31121555708,4994587515.924001
9,shiba-inu,1.4920286634476486e-09,2020-08,15,5419004001,3501406.4325007494
10,solana,4.577427198403138,2020-08,10,9465510412,40109815.87894283
11,tether,1.0056996074595868,2020-08,3,82924174463,42474584088.94842
12,tron,0.0324487337344177,2020-08,11,6676014009,1443673154.754186
13,usd-coin,1.003801208181203,2020-08,6,26045414856,666933704.7352078
0,binancecoin,33.04169456190111,2020-09,4,35586997266,1212328923.004801
2,cardano,0.1265888908073862,2020-09,8,9675907234,739577479.9126202
3,dogecoin,0.0032657686558982,2020-09,9,9538992239,190721600.93853647
4,ethereum,482.9740734120604,2020-09,2,216007297144,80125930552.45213
5,litecoin,63.714473908558816,2020-09,14,5539500261,2911861775.842342
6,matic-network,0.0268602152076478,2020-09,13,5778318067,33278071.28961334
7,polkadot,6.778941285069653,2020-09,12,5992548526,770982603.7640783
8,ripple,0.3001291797900219,2020-09,5,31121555708,2913581903.7429314
9,shiba-inu,6.693896489330695e-10,2020-09,15,5419004001,97229.1973839785
10,solana,4.884163113156779,2020-09,10,9465510412,64211044.88471411
11,tether,1.0068272706655956,2020-09,3,82889314025,60577828003.27619
12,tron,0.0477052102754641,2020-09,11,6676014009,5314460283.278908
13,usd-coin,1.009444950815083,2020-09,6,26041666908,813125393.1828493
0,binancecoin,32.199121952604386,2020-10,4,35586997266,573473374.0954834
2,cardano,0.1137363130066915,2020-10,8,9675907234,644234437.5523357
3,dogecoin,0.0028613039969616,2020-10,9,9538992239,145168360.22643897
4,ethereum,417.7512332939506,2020-10,2,216007297144,15029432179.704138
5,litecoin,60.12997513160788,2020-10,14,5539500261,3177926155.717505
6,matic-network,0.0202400748231595,2020-10,13,5778318067,24548543.88605649
7,polkadot,4.864207629219572,2020-10,12,5992548526,393022302.8348565
8,ripple,0.2628387037775912,2020-10,5,31121555708,2039012245.933344
9,shiba-inu,2.0707997123415742e-10,2020-10,15,5419004001,14679.004063721488
10,solana,2.978787825855529,2020-10,10,9465510412,28379481.662470337
11,tether,1.007102131364675,2020-10,3,82889314025,36326747599.19391
12,tron,0.0287655249588995,2020-10,11,6676014009,1122028693.634719
13,usd-coin,1.0078317933807992,2020-10,6,26041666908,4962063863.395723
0,binancecoin,34.802646271121034,2020-11,4,35594731243,1109502090.585008
2,cardano,0.1781831630138657,2020-11,8,9675231452,2128186432.3354652
3,dogecoin,0.0041828951008963,2020-11,9,9536843834,274581788.8320504
4,ethereum,618.8303221573194,2020-11,2,216007297144,26171006875.44223
5,litecoin,91.84047263556565,2020-11,14,5541169787,12074942666.925035
6,matic-network,0.0233378918007134,2020-11,13,5773058267,35364648.31950436
7,polkadot,6.007363472116047,2020-11,12,5997819712,635551409.3109403
8,ripple,0.7299971810862754,2020-11,5,31121555708,26698268904.588223
9,shiba-inu,7.857458533778944e-11,2020-11,15,5413540788,1805.7348973853395
10,solana,2.445705941035453,2020-11,10,9459903542,69505254.93434788
11,tether,1.009653001566506,2020-11,3,82889314025,83674366594.8762
12,tron,0.0367781678677587,2020-11,11,6676283694,2782539479.490719
13,usd-coin,1.0063421328932811,2020-11,6,26041666908,1674577974.663389
0,binancecoin,38.78249514356571,2020-12,4,35594731243,1192460810.9443102
2,cardano,0.1942120770345573,2020-12,8,9675231452,2527470209.31944
3,dogecoin,0.0052463582034355,2020-12,9,9536843834,682476115.1038064
4,ethereum,755.9832271476032,2020-12,2,216009509054,943136362955.857
5,litecoin,136.91394965214778,2020-12,14,5541169787,23360881785.70829
6,matic-network,0.0210211578632068,2020-12,13,5773058267,26315408.070120227
7,polkadot,7.59019349274243,2020-12,12,5997819712,1607408418.4441197
8,ripple,0.6703340538743056,2020-12,5,31111294582,31866239428.500706
9,shiba-inu,7.856127770632697e-11,2020-12,15,5413540788,341.4756062993324
10,solana,2.2090879626570774,2020-12,10,9459903542,35186125.89224068
11,staked-ether,738.7136214433816,2020-12,7,14638563395,154860.09885386546
12,tether,1.0126321256382091,2020-12,3,82915911994,96516356006.85156
13,tron,0.0337530507460921,2020-12,11,6676283694,3363930522.950122
14,usd-coin,1.0217484079650228,2020-12,6,26046212373,15516009134.4397
0,binancecoin,46.99604610960923,2021-01,4,35594731243,14517295937.954416
2,cardano,0.3906260989144466,2021-01,8,9675231452,6146191822.400815
3,dogecoin,0.0707546317753101,2021-01,9,9536843834,40427833851.26328
